Symbol,Read_count,FPKM_value,TPM_value
KRAS,9810,16.78,64.32
LIFR,15914,16.76,64.24
DICER1,16436,16.7,64.01
LDB1,3720,16.66,63.86
FOXA1,5307,16.65,63.82
MET,9370,16.63,63.74
ARAF,4637,16.39,62.82
CNOT3,8742,16.36,62.71
DDB2,6411,16.35,62.67
TRRAP,16987,16.05,61.52
TGIF1,10520,15.98,61.25
MAP3K1,9854,15.95,61.14
STIL,9302,15.94,61.1
PBRM1,12314,15.93,61.06
PIK3R1,13731,15.93,61.06
NCOR1,19264,15.62,59.87
MAP2K2,6529,15.58,59.72
CEBPA,3272,15.54,59.56
MLLT1,5832,15.37,58.91
DAZAP1,11319,15.37,58.91
PSIP1,8296,15.31,58.68
DCTN1,12791,15.31,58.68
RNF6,5636,15.24,58.41
MCM3AP,11209,14.96,57.34
TMEM127,7591,14.89,57.07
EXT1,9827,14.75,56.54
VHL,4972,14.74,56.5
MAP2K4,6739,14.73,56.46
ERCC2,7560,14.64,56.11
KLF4,4279,14.61,56
GNAI2,8888,14.51,55.62
MRTFA,7628,14.43,55.31
UBR5,14967,14.29,54.77
GMPS,10150,14.27,54.7
ESRRA,3456,14.25,54.62
PRKCD,3874,14.25,54.62
SDHC,16035,14.15,54.24
NCOR2,15702,14.04,53.82
RECQL4,4743,13.99,53.62
DUSP16,6401,13.97,53.55
AKT2,16806,13.96,53.51
TP53,4366,13.86,53.13
DROSHA,8627,13.85,53.09
ZBTB7B,4750,13.79,52.86
SPEN,14667,13.78,52.82
CCNB1IP1,4048,13.74,52.67
MLH1,3876,13.71,52.55
IFNAR1,6911,13.7,52.51
MSH6,11666,13.26,50.83
CRNKL1,4813,13.17,50.48
NSD1,16008,13.12,50.29
NT5C2,5362,12.99,49.79
KMT2B,10672,12.97,49.71
RBFOX2,10369,12.94,49.6
ERCC3,7650,12.91,49.48
TCF7L2,5030,12.73,48.79
ARNT,6619,12.69,48.64
RAF1,7939,12.64,48.45
CREBBP,15228,12.62,48.37
NXF1,6253,12.61,48.33
PPP3CA,5241,12.56,48.14
CIC,9496,12.49,47.87
MB21D2,3352,12.43,47.64
TFE3,4238,12.36,47.38
DGCR8,7226,12.34,47.3
GNA11,6150,12.31,47.18
NUMA1,14937,12.26,46.99
ELF4,4215,12.2,46.76
PDPR,10084,12.13,46.49
ERBB3,8406,12.13,46.49
PCM1,13936,12.05,46.19
RASA1,5043,12.04,46.15
BIRC6,16973,11.96,45.84
CDK12,12201,11.93,45.73
RB1,5886,11.92,45.69
AFF1,10222,11.9,45.61
CUL3,10920,11.86,45.46
MTOR,11205,11.55,44.27
IDH2,2581,11.46,43.93
NBN,5566,11.3,43.31
RABEP1,5841,11.17,42.81
TRIM33,8525,11.12,42.62
RAP1GDS1,4808,11.07,42.43
XPC,4246,11.06,42.39
INO80,6142,10.94,41.93
FANCG,3148,10.88,41.7
CCND3,5047,10.87,41.66
NKTR,14910,10.73,41.13
NIPBL,10651,10.62,40.71
GTF2I,8849,10.59,40.59
POLE,14006,10.53,40.36
BRD7,7155,10.53,40.36
KMT2D,17229,10.51,40.28
NOTCH2,14030,10.43,39.98
BCR,10302,10.39,39.82
ETNK1,6794,10.36,39.71
CHD2,13019,10.34,39.63
ZCRB1,2005,10.24,39.25
PIK3CB,6431,10.23,39.21
NSD2,16094,10.17,38.98
RPS6KA3,7122,10.07,38.6
KNL1,8229,10.03,38.44
ACVR1,3202,10.03,38.44
BCL3,2551,9.83,37.68
MAX,3449,9.73,37.3
PRKACA,4691,9.54,36.57
SS18,4639,9.43,36.15
SRC,4876,9.42,36.11
BCOR,6385,9.34,35.8
NF1,19614,9.18,35.19
MARK2,4523,9.18,35.19
RBM15,3429,9.17,35.15
NF2,5249,9.15,35.07
FANCD2,6110,9.11,34.92
SETDB1,5168,9.1,34.88
MEN1,3088,9.09,34.84
KDM5A,8779,9.06,34.73
NRP1,8224,8.92,34.19
ARHGEF12,17413,8.91,34.15
STAT5B,4578,8.87,34
CHCHD7,4157,8.85,33.92
ZFX,6391,8.83,33.85
BRD4,8490,8.77,33.62
MECOM,6363,8.73,33.46
RGL3,3046,8.73,33.46
PATZ1,3974,8.72,33.42
NT5C3A,2439,8.72,33.42
EP300,6669,8.69,33.31
CLIP1,11303,8.67,33.23
ATF1,1937,8.67,33.23
ATRX,13172,8.63,33.08
HERC2,13796,8.61,33
TRIP11,7124,8.58,32.89
POLQ,6459,8.58,32.89
MED12,5098,8.58,32.89
SS18L1,3479,8.53,32.7
CUX1,12045,8.46,32.43
BCL9L,7005,8.36,32.04
CBL,7655,8.34,31.97
ZMYM2,9062,8.31,31.85
IL6ST,6171,8.3,31.81
DIS3,7130,8.22,31.51
TCIRG1,2827,8.06,30.89
FIP1L1,4609,8.03,30.78
EPS15,4739,7.96,30.51
ETV5,3674,7.91,30.32
BMPR1A,7189,7.91,30.32
CD58,1125,7.88,30.2
PDGFRA,6122,7.86,30.13
STRN,5232,7.83,30.01
KAT6A,7371,7.77,29.78
MLLT6,8276,7.76,29.74
SMARCE1,6844,7.76,29.74
COL1A1,6068,7.72,29.59
FANCA,6015,7.72,29.59
MLLT10,4217,7.7,29.51
RELA,3365,7.69,29.48
PALB2,2916,7.67,29.4
FOXP1,8284,7.59,29.09
PPARG,2436,7.52,28.82
BARD1,3643,7.5,28.75
BCL10,1689,7.48,28.67
NCOA1,5171,7.48,28.67
CARS1,6005,7.47,28.63
BRD3,4114,7.47,28.63
PTK6,1753,7.43,28.48
EPAS1,4320,7.39,28.33
ARID2,7107,7.32,28.06
SIN3A,7276,7.3,27.98
CASP8,4224,7.29,27.94
ZNF384,2996,7.22,27.67
PTPN14,10826,7.21,27.64
TRAF3,4743,7.17,27.48
SMAD3,5197,7.12,27.29
NUP214,7438,7.11,27.25
FBXO11,3978,7.02,26.91
TRIM27,4489,7.02,26.91
NAB2,1690,7.01,26.87
EGFR,7178,6.92,26.52
NSD3,8420,6.9,26.45
SOS1,5117,6.9,26.45
LATS1,4765,6.89,26.41
AXIN1,4123,6.88,26.37
PHF6,4398,6.85,26.26
PIM1,1628,6.83,26.18
MDM4,5988,6.8,26.06
XPA,997,6.79,26.03
PRR14,2080,6.73,25.8
DNMT3A,6453,6.71,25.72
LRIG3,3123,6.62,25.37
PPFIBP1,6165,6.59,25.26
RASA2,3137,6.54,25.07
ZRSR2,1085,6.53,25.03
ASXL2,6690,6.42,24.61
HERPUD1,2619,6.35,24.34
FGFR3,2449,6.33,24.26
DOT1L,5638,6.25,23.96
ELK4,6044,6.22,23.84
FOXO3,3846,6.22,23.84
HTRA2,1484,6.18,23.69
NPRL2,1807,6.14,23.53
WRN,2756,6.11,23.42
TSC1,4850,6.11,23.42
KMT2A,10619,6.04,23.15
TSC2,5344,6,23
ARID1B,7850,6,23
HOOK3,7309,5.99,22.96
RMI2,1284,5.94,22.77
LPP,12023,5.88,22.54
CNTRL,4417,5.86,22.46
NOTCH1,4625,5.85,22.42
MALT1,5072,5.84,22.38
KLHL36,4638,5.8,22.23
LZTR1,3511,5.8,22.23
BRCA2,5684,5.79,22.19
BRIP1,3696,5.78,22.15
SETD1B,3819,5.74,22
CREB3L2,4039,5.74,22
PTPN6,2299,5.73,21.96
ETV4,1644,5.69,21.81
PLCB4,3133,5.67,21.73
WDR45,2021,5.64,21.62
PTEN,5229,5.6,21.46
PRDM2,4889,5.59,21.43
STK11,3829,5.54,21.23
FLCN,4343,5.54,21.23
RNF213,12628,5.52,21.16
KMT2C,8840,5.49,21.04
SOX2,1102,5.48,21
DDX10,3667,5.41,20.74
BRCA1,3793,5.38,20.62
AFDN,5885,5.36,20.54
CREB1,4088,5.33,20.43
ETV6,3009,5.31,20.35
NCOA2,4265,5.31,20.35
FANCE,1073,5.25,20.12
CHEK2,1736,5.24,20.08
ATF7IP,5489,5.2,19.93
ZNF148,4399,5.2,19.93
ABL2,5493,5.18,19.85
DDIT3,523,5.16,19.78
CMTR2,3082,5.08,19.47
FANCF,1714,5.02,19.24
MAP2K7,2068,5.02,19.24
USP8,8282,5.01,19.2
SLC45A3,1473,4.97,19.05
RALGDS,3033,4.97,19.05
SGK1,3962,4.95,18.97
MSI2,8478,4.93,18.9
ZNF93,1913,4.89,18.74
IRF1,3018,4.83,18.51
PPM1D,1929,4.78,18.32
ZFHX3,6672,4.76,18.25
SPOP,2431,4.76,18.25
ZNF165,803,4.76,18.25
TMPRSS2,2326,4.75,18.21
BLM,2490,4.75,18.21
MLLT3,3078,4.73,18.13
TCF12,3534,4.67,17.9
RXRA,4034,4.66,17.86
BRAF,3783,4.55,17.44
HMGA2,5591,4.53,17.36
ZXDB,2125,4.5,17.25
ERC1,4813,4.46,17.1
ATR,4440,4.44,17.02
BTG1,1704,4.39,16.83
ZNF721,2227,4.35,16.67
ACVR2A,2333,4.3,16.48
ZNF814,4306,4.27,16.37
APC,4237,4.25,16.29
LATS2,1894,4.24,16.25
ING1,2166,4.24,16.25
TET2,5571,4.22,16.18
RRAGC,1747,4.22,16.18
NFKB2,1511,4.21,16.14
ZNF780A,2625,4.11,15.75
SDHAF2,810,4.06,15.56
BCL9,2066,4.02,15.41
CDH1,1960,3.96,15.18
ELL,1559,3.95,15.14
RARA,1488,3.93,15.06
FAS,1153,3.91,14.99
POT1,1842,3.9,14.95
PDGFB,1172,3.89,14.91
FGFR2,2328,3.88,14.87
PCMTD1,2212,3.77,14.45
POU5F1,852,3.69,14.14
BCL7A,1938,3.69,14.14
IKBKB,2984,3.64,13.95
U2AF1,3222,3.62,13.88
FBXW7,2964,3.6,13.8
PMS2,1113,3.53,13.53
SH2B3,1605,3.53,13.53
VAV1,1200,3.48,13.34
WDCP,1047,3.4,13.03
CRTC3,2918,3.37,12.92
PPT2,788,3.35,12.84
MGA,4704,3.33,12.76
KAT6B,3577,3.33,12.76
CASZ1,2931,3.23,12.38
PTPRB,3738,3.21,12.3
BCORL1,2020,3.16,12.11
NIN,3359,3.07,11.77
ZNF680,1348,3.01,11.54
KDSR,2194,2.95,11.31
PIK3CA,2200,2.92,11.19
SMAD4,3065,2.92,11.19
H4C9,281,2.71,10.39
ERCC5,1380,2.58,9.89
FOXA2,520,2.5,9.58
AMER1,1663,2.46,9.43
FANCC,1529,2.41,9.24
NFKBIE,484,2.34,8.97
PBX1,3963,2.33,8.93
MUTYH,729,2.33,8.93
CEP43,2778,2.29,8.78
SUFU,1260,2.29,8.78
REL,2044,2.27,8.7
WWTR1,1520,2.26,8.66
NFATC2,1459,2.2,8.43
PDE4DIP,4817,2.18,8.36
ARHGEF10L,1286,2.06,7.9
JAK2,941,2.03,7.78
ATM,3622,2.03,7.78
CBLB,1894,2,7.67
MYB,881,2,7.67
MAP3K13,1969,1.95,7.47
ATG7,1352,1.91,7.32
MYO5A,1984,1.91,7.32
MAP2,1737,1.88,7.21
TENT5C,851,1.85,7.09
PML,1837,1.81,6.94
CDKN2C,475,1.79,6.86
SUSD2,750,1.77,6.78
CLTCL1,1406,1.75,6.71
PER1,975,1.74,6.67
TFAP4,1082,1.72,6.59
ASPSCR1,1607,1.66,6.36
CAMTA1,1306,1.63,6.25
ARHGAP26,1715,1.61,6.17
FOXO4,442,1.6,6.13
CACNA1D,1341,1.57,6.02
FOXO1,704,1.51,5.79
CYLD,1537,1.48,5.67
NFIB,1236,1.47,5.63
SOX21,325,1.46,5.6
PLAG1,895,1.43,5.48
TNFAIP3,574,1.42,5.44
MYCN,261,1.25,4.79
SMAD2,3584,1.23,4.71
CRTC1,688,1.23,4.71
MAML2,688,1.21,4.64
TFEB,538,1.19,4.56
TEC,374,1.16,4.45
MTCP1,267,1.12,4.29
BCL6,512,1.08,4.14
ERCC4,721,1.06,4.06
GPHN,503,1.05,4.02
ZNF429,422,1.04,3.99
PTPN13,747,0.98,3.76
LCK,262,0.98,3.76
MYCL,397,0.98,3.76
NDRG1,741,0.94,3.6
MLLT11,299,0.92,3.53
PRDM1,462,0.91,3.49
BIRC3,526,0.87,3.33
SALL4,257,0.79,3.03
TET1,563,0.76,2.91
BCL11A,466,0.72,2.76
HOXC13,135,0.7,2.68
SRGAP3,1018,0.67,2.57
IKZF3,482,0.6,2.3
LYL1,141,0.56,2.15
CD274,177,0.54,2.07
PTCH1,699,0.53,2.03
CREB3L1,160,0.5,1.92
MITF,250,0.43,1.65
TERT,154,0.42,1.61
H3C2,13,0.4,1.53
ACKR3,73,0.4,1.53
CDH11,415,0.39,1.49
CYP2C8,79,0.38,1.46
SOCS1,37,0.38,1.46
CPEB3,226,0.36,1.38
RAD51B,204,0.34,1.3
BCL11B,209,0.33,1.26
CARD11,120,0.32,1.23
USP6,255,0.28,1.07
FN1,394,0.28,1.07
PRF1,55,0.27,1.03
FHIT,113,0.26,1
ETV1,192,0.25,0.96
SLC34A2,83,0.22,0.84
DDR2,181,0.21,0.8
FOXD4L1,38,0.19,0.73
TCF4,353,0.18,0.69
USP44,78,0.18,0.69
GPC3,37,0.17,0.65
HNF1A,70,0.17,0.65
HIP1,123,0.17,0.65
ZNRF3,81,0.15,0.57
LOX,67,0.15,0.57
HEY1,39,0.15,0.57
WNK4,57,0.14,0.54
FES,49,0.14,0.54
NUTM2D,81,0.14,0.54
MYH11,162,0.13,0.5
TAL2,7,0.13,0.5
CDH10,36,0.12,0.46
HLF,66,0.12,0.46
RGPD3,49,0.11,0.42
AKT3,80,0.11,0.42
FAM174B,39,0.1,0.38
ZNF331,54,0.09,0.34
POU2F2,65,0.09,0.34
SMARCA1,33,0.09,0.34
CD74,20,0.08,0.31
EGR2,23,0.08,0.31
PAX8,47,0.08,0.31
MPL,14,0.08,0.31
PRDM16,62,0.08,0.31
ABCB1,33,0.07,0.27
GLI1,25,0.07,0.27
NTRK1,26,0.07,0.27
ZEB1,51,0.07,0.27
NR4A3,30,0.06,0.23
ARHGEF10,48,0.06,0.23
JAK3,31,0.06,0.23
CIITA,63,0.06,0.23
FBLN1,32,0.06,0.23
FBN2,67,0.06,0.23
TBX3,24,0.05,0.19
SETBP1,46,0.05,0.19
GAS7,40,0.05,0.19
FAT2,54,0.05,0.19
DTX1,19,0.05,0.19
NUTM2B,19,0.05,0.19
TNC,34,0.04,0.15
NUTM1,12,0.04,0.15
LTB,5,0.04,0.15
WNK2,46,0.04,0.15
CD79A,5,0.04,0.15
IRF4,17,0.04,0.15
SSX1,4,0.04,0.15
GRIN2A,56,0.04,0.15
KEL,12,0.04,0.15
HOXD11,7,0.04,0.15
HGF,29,0.04,0.15
CXCR4,8,0.04,0.15
LMO1,5,0.04,0.15
CCR7,8,0.04,0.15
CRLF2,5,0.03,0.11
FAM186A,20,0.03,0.11
ZBTB20,21,0.03,0.11
CCND2,15,0.03,0.11
ERBB4,30,0.03,0.11
POU2AF1,20,0.03,0.11
BTK,11,0.03,0.11
PTPRC,18,0.03,0.11
TP63,14,0.02,0.08
BCL2,11,0.02,0.08
KIT,7,0.02,0.08
HOXC11,5,0.02,0.08
QKI,27,0.02,0.08
SMO,8,0.02,0.08
RSPO3,4,0.02,0.08
ESR1,25,0.02,0.08
SP140,9,0.02,0.08
WAS,4,0.02,0.08
TNFRSF14,9,0.02,0.08
CDKN2A,8,0.02,0.08
SFRP4,7,0.02,0.08
CD79B,3,0.02,0.08
GATA2,6,0.02,0.08
GATA1,3,0.02,0.08
RET,11,0.02,0.08
MN1,12,0.02,0.08
FOXL2,4,0.02,0.08
NRG1,16,0.02,0.08
MLF1,7,0.02,0.08
PDGFRB,14,0.02,0.08
PHOX2B,4,0.02,0.08
FGFR1,19,0.02,0.08
NEFH,6,0.02,0.08
TCL1A,3,0.02,0.08
FLT4,10,0.01,0.04
SIRPA,3,0.01,0.04
SIX1,4,0.01,0.04
MAF,3,0.01,0.04
TNFRSF17,1,0.01,0.04
WT1,4,0.01,0.04
P2RY8,4,0.01,0.04
EPHA7,4,0.01,0.04
EPHA3,3,0.01,0.04
LMO2,3,0.01,0.04
KLHL6,12,0.01,0.04
WIF1,1,0.01,0.04
KCNJ5,5,0.01,0.04
COL2A1,5,0.01,0.04
ITK,5,0.01,0.04
NKX2-1,2,0.01,0.04
IL7R,3,0.01,0.04
IKZF1,6,0.01,0.04
TLX1,2,0.01,0.04
HOXD13,2,0.01,0.04
HOXA9,2,0.01,0.04
ALB,3,0.01,0.04
AFF3,9,0.01,0.04
TAL1,5,0.01,0.04
IL21R,6,0.01,0.04
PAX5,7,0.01,0.04
SFMBT2,6,0.01,0.04
KLK2,4,0.01,0.04
GATA3,2,0.01,0.04
LEF1,4,0.01,0.04
MAFB,3,0.01,0.04
FLT3,3,0.01,0.04
RBFOX1,6,0.01,0.04
MEF2B,2,0.01,0.04
RGS7,2,0.01,0.04
TSHR,4,0.01,0.04
PEG3,3,0,0
PRKCB,4,0,0
PCDH17,1,0,0
PRRX1,0,0,0
PAX7,0,0,0
PAX3,1,0,0
ZBTB16,0,0,0
UGT2B17,0,0,0
NTRK3,0,0,0
PTPRD,2,0,0
NRK,0,0,0
PTPRT,1,0,0
ZNF208,0,0,0
ZNF521,0,0,0
ZNF626,2,0,0
NBEA,2,0,0
LRP1B,0,0,0
RHOH,0,0,0
KDR,1,0,0
ROS1,3,0,0
IRS4,1,0,0
HOXA13,1,0,0
HOXA11,0,0,0
RSPO2,0,0,0
RUNX1T1,2,0,0
SATB1,2,0,0
RSPH10B2,0,0,0
MYOD1,0,0,0
FLI1,0,0,0
FGD5,1,0,0
FEV,0,0,0
FCGR2B,0,0,0
FAT4,4,0,0
FAT3,6,0,0
FAM135B,0,0,0
ERG,0,0,0
ENPEP,1,0,0
ELN,1,0,0
EBF1,0,0,0
TRIM49C,0,0,0
DCC,0,0,0
CYSLTR2,1,0,0
CSF3R,0,0,0
CR1,2,0,0
SOHLH2,0,0,0
SOX17,0,0,0
CBFA2T3,1,0,0
ATP2B3,2,0,0
TLX3,0,0,0
AR,2,0,0
ALK,0,0,0
DCAF12L2,0,0,0
DCSTAMP,0,0,0
LY75-CD302,1,0,0
SSX2,0,0,0
SSX4,0,0,0
FCRL4,0,0,0
TLL1,0,0,0
IL2,0,0,0
LPAR4,0,0,0
OLIG2,0,0,0
PREX2,1,0,0
PDCD1LG2,0,0,0
