Symbol,Read_count,FPKM_value,TPM_value
DAZAP1,20419,18.29,56.28
CREB3L2,19306,18.11,55.73
BCLAF1,20245,17.95,55.24
ETNK1,17717,17.83,54.87
EML4,17937,17.69,54.44
RANBP2,26155,17.53,53.94
KLF6,12964,17.41,53.58
NBN,13004,17.41,53.58
RRAS2,7145,17.06,52.5
RBM10,8015,16.99,52.28
CTCF,8844,16.95,52.16
MDM2,27203,16.9,52.01
NUP98,20283,16.88,51.94
GOPC,10217,16.81,51.73
STAG2,16665,16.78,51.64
SUZ12,13263,16.7,51.39
STAT3,17714,16.57,50.99
GOLGA5,6619,16.56,50.96
MDM4,21864,16.37,50.37
RECQL4,8330,16.21,49.88
MAPK1,22192,16.14,49.67
BAX,5018,15.99,49.21
RNF6,8958,15.98,49.17
EZH2,8546,15.58,47.94
MSI2,40157,15.41,47.42
FH,3972,15.29,47.05
MEN1,7864,15.27,46.99
MAP2K1,6929,15.2,46.77
MALT1,20001,15.2,46.77
ARID1A,16883,15.05,46.31
EXT2,9636,15.03,46.25
NUMA1,27705,15,46.16
MLLT6,23964,14.84,45.67
TCF12,16988,14.83,45.64
ESRRA,5408,14.71,45.27
CCDC6,13045,14.64,45.05
PPP6C,7815,14.5,44.62
RABEP1,11491,14.5,44.62
EPS15,13002,14.41,44.34
XPC,8343,14.33,44.1
KRAS,12688,14.32,44.07
ELK4,21081,14.31,44.04
ZBTB7B,7445,14.26,43.88
CD58,3052,14.11,43.42
MLF1,6105,14.1,43.39
ABI1,7206,14.08,43.33
AKT1,19045,14.07,43.3
KDM5C,14846,14.02,43.14
DAXX,6219,13.99,43.05
CDC73,8870,13.66,42.04
MLLT1,7817,13.59,41.82
RELA,8996,13.57,41.76
NKTR,28493,13.53,41.64
HRAS,3039,13.51,41.57
ZNF384,8316,13.23,40.71
KLHL36,15964,13.17,40.53
STAT6,11640,13.15,40.47
CHD2,25051,13.13,40.4
RBM38,4264,13.09,40.28
FBXO11,11233,13.09,40.28
TFE3,6763,13.02,40.07
ATF1,4354,12.86,39.57
SPEN,20727,12.85,39.54
MCM3AP,14485,12.76,39.27
EGFR,19793,12.59,38.74
CBL,17500,12.58,38.71
TRIM27,12159,12.55,38.62
BCL10,4287,12.54,38.59
MAP2K7,7799,12.5,38.47
SPOP,9648,12.47,38.37
RB1,9303,12.43,38.25
KTN1,26280,12.33,37.94
NFKBIA,3519,12.22,37.6
ARHGAP35,16623,12.19,37.51
RPS6KA3,13029,12.15,37.39
TGFBR2,6926,12.14,37.36
ARHGEF12,35723,12.07,37.14
GNAQ,9686,12.05,37.08
PRKACA,8980,12.05,37.08
TRIM33,13977,12.03,37.02
SMARCD1,7436,11.94,36.74
USP9X,20141,11.89,36.59
DIS3,15568,11.84,36.43
GNA11,8967,11.84,36.43
SS18L1,7292,11.8,36.31
MSH2,6477,11.73,36.1
PCM1,20544,11.72,36.07
WRN,7900,11.56,35.57
FIP1L1,10021,11.52,35.45
RASA1,7287,11.48,35.33
UBE2A,7305,11.41,35.11
FOXO3,10645,11.37,34.99
PHF6,11051,11.36,34.96
RIPK1,5816,11.33,34.87
ETV4,4939,11.29,34.74
GMPS,12164,11.29,34.74
BUB1B,6127,11.28,34.71
KIFC1,4562,11.24,34.59
KEAP1,5117,11.22,34.53
AFDN,18649,11.21,34.5
PRKCD,4613,11.2,34.47
AFF4,15342,11.2,34.47
RAP1GDS1,7356,11.18,34.4
WWTR1,11386,11.16,34.34
EPAS1,9867,11.14,34.28
DNM2,17999,11.04,33.97
EP300,12751,10.97,33.76
ABL1,8314,10.92,33.6
SDHC,18750,10.92,33.6
ARHGEF10,14287,10.91,33.57
MAX,5842,10.87,33.45
PTEN,15341,10.84,33.36
ASXL1,12232,10.67,32.83
IL6ST,11965,10.61,32.65
RAF1,10052,10.56,32.5
SMAD3,11664,10.55,32.47
NCOR2,17839,10.52,32.37
PRCC,5220,10.48,32.25
FSTL3,3809,10.3,31.7
MLLT10,8512,10.25,31.54
FGFR4,5852,9.99,30.74
FGFR1,15327,9.95,30.62
TRRAP,15930,9.93,30.56
PPFIBP1,14088,9.93,30.56
ARNT,7845,9.92,30.53
DDB2,5893,9.92,30.53
PBRM1,11552,9.86,30.34
NF2,8560,9.84,30.28
RHPN2,5735,9.84,30.28
CUL3,13666,9.79,30.13
NSD2,23469,9.78,30.1
CNOT3,7909,9.77,30.06
SMARCA4,13094,9.75,30
PRKD2,6391,9.67,29.76
KMT2D,23806,9.58,29.48
NT5C3A,4055,9.57,29.45
SETD2,11564,9.51,29.26
STK11,9900,9.45,29.08
SETDB1,8111,9.43,29.02
SDHA,9545,9.39,28.9
BRD7,9671,9.39,28.9
ARHGAP5,12323,9.33,28.71
SMARCE1,12474,9.33,28.71
BAP1,5722,9.33,28.71
PDPR,11706,9.29,28.59
INO80,7899,9.28,28.56
KDSR,10424,9.25,28.46
NXF1,6902,9.19,28.28
PMS2,4375,9.16,28.19
PRR14,4259,9.1,28
CUX1,19601,9.08,27.94
TCIRG1,4809,9.04,27.82
DCTN1,11429,9.03,27.79
NSD3,16709,9.03,27.79
BCL2L12,2424,9.02,27.76
BRD3,7430,8.91,27.42
IFNAR1,6781,8.87,27.3
SMAD4,14072,8.84,27.2
PPM1D,5392,8.81,27.11
ERBB3,9231,8.79,27.05
ERCC2,6872,8.78,27.02
ZMYM2,14501,8.78,27.02
DROSHA,8287,8.78,27.02
CRNKL1,4861,8.77,26.99
KAT6A,12534,8.72,26.83
PTPRK,9486,8.69,26.74
ARAF,3728,8.69,26.74
SMC1A,11037,8.68,26.71
ELF3,7513,8.61,26.5
PIK3CB,8203,8.61,26.5
TMEM127,6635,8.59,26.43
MAP2K4,5949,8.58,26.4
ELF4,4488,8.57,26.37
PER1,7271,8.56,26.34
IDH2,2898,8.49,26.13
ERBB2,10410,8.31,25.57
BIRC6,17870,8.31,25.57
NIPBL,12626,8.31,25.57
DDX10,8399,8.18,25.17
AKT2,14853,8.14,25.05
ERCC3,7216,8.04,24.74
EFTUD2,10096,8.02,24.68
AJUBA,5804,8,24.62
PPARG,3911,7.97,24.53
CDKN2A,4177,7.95,24.46
DICER1,11814,7.92,24.37
MARK2,5892,7.89,24.28
NOTCH2,15928,7.81,24.03
MTOR,11392,7.75,23.85
PTPN13,8904,7.73,23.79
BRAF,9731,7.73,23.79
HIP1,8365,7.7,23.69
CIC,8815,7.65,23.54
TRAF3,7651,7.63,23.48
ZNF721,5873,7.58,23.33
SH2B3,5196,7.54,23.2
FGFR3,4364,7.44,22.89
NSD1,13706,7.41,22.8
CDK12,11447,7.39,22.74
PATZ1,5098,7.38,22.71
CREBBP,13391,7.33,22.56
STRN,7413,7.32,22.53
SOS1,8214,7.31,22.49
AFF1,9501,7.3,22.46
SIN3A,11002,7.28,22.4
CMTR2,6645,7.22,22.22
HSPG2,15457,7.21,22.19
ACVR1,3487,7.2,22.16
HTRA2,2603,7.15,22
RALGDS,6585,7.12,21.91
BCL9,5546,7.12,21.91
DUSP16,4912,7.07,21.76
DGCR8,6199,6.99,21.51
VAV1,3617,6.93,21.33
POT1,4959,6.93,21.33
NPRL2,3087,6.92,21.29
NCOA2,8287,6.81,20.96
PDGFB,3100,6.79,20.89
SRC,5315,6.77,20.83
CLIP1,13341,6.75,20.77
GTF2I,8465,6.69,20.59
ATF7IP,10631,6.64,20.43
FANCG,2900,6.61,20.34
RARA,3765,6.56,20.19
NIN,10881,6.56,20.19
BCL3,2573,6.54,20.13
FANCA,7630,6.46,19.88
LZTR1,5925,6.46,19.88
CCNE1,1978,6.39,19.66
POLD1,3768,6.39,19.66
STIL,5625,6.36,19.57
CHEK2,3184,6.34,19.51
NOTCH1,7549,6.3,19.39
KMT2A,16657,6.25,19.23
ZNF148,7979,6.22,19.14
BCOR,6443,6.22,19.14
TSC1,7428,6.18,19.02
PCMTD1,5463,6.15,18.93
RUNX1,11600,6.14,18.89
MUTYH,2908,6.13,18.86
ATM,16565,6.12,18.83
CREB1,7090,6.1,18.77
RASA2,4432,6.1,18.77
APOBEC3B,1404,6.1,18.77
CASP8,5298,6.03,18.56
MED12,5410,6.01,18.49
LATS1,6266,5.98,18.4
ATRX,13818,5.98,18.4
RNF213,20582,5.94,18.28
PTPN6,3594,5.91,18.19
MYD88,2848,5.89,18.13
NCOR1,10969,5.87,18.06
MYCL,3600,5.86,18.03
XPA,1287,5.79,17.82
ASXL2,9146,5.79,17.82
CRTC1,4846,5.74,17.66
KMT2B,7132,5.72,17.6
MGA,12244,5.72,17.6
WDCP,2642,5.66,17.42
SETD1B,5669,5.62,17.29
ATR,8482,5.6,17.23
SIRPA,3438,5.59,17.2
BRCA1,5940,5.56,17.11
FANCD2,5628,5.54,17.05
WDR45,2997,5.51,16.96
RBM15,3103,5.48,16.86
BCL6,3933,5.46,16.8
USP8,13439,5.37,16.52
ARID2,7791,5.3,16.31
BCORL1,5128,5.29,16.28
MYO5A,8329,5.29,16.28
ETV1,6151,5.27,16.22
POLE,10579,5.25,16.16
ING1,4054,5.23,16.09
RXRA,6861,5.23,16.09
ABL2,8398,5.22,16.06
LPP,16114,5.2,16
ELL,3111,5.2,16
HERC2,12600,5.19,15.97
PIK3CA,5900,5.17,15.91
FAS,2308,5.16,15.88
BMPR1A,7050,5.12,15.76
KNL1,6352,5.11,15.72
PALB2,2927,5.08,15.63
PLCG1,5920,5.06,15.57
PIM1,1817,5.03,15.48
FANCE,1550,5,15.39
ZNF165,1250,4.89,15.05
SUFU,4076,4.89,15.05
FGFR2,4431,4.88,15.02
SLC45A3,2165,4.82,14.83
ETV6,4103,4.78,14.71
TFAP4,4535,4.75,14.62
BMPR2,6842,4.74,14.59
TRIP11,5963,4.74,14.59
AXIN1,4294,4.73,14.56
GPHN,3441,4.72,14.52
ERC1,7711,4.71,14.49
IKBKB,5842,4.7,14.46
BRD4,6866,4.68,14.4
KDM6A,4033,4.66,14.34
MAP3K1,4302,4.6,14.16
FOXO4,1913,4.57,14.06
MSH6,6098,4.57,14.06
BCL7A,3626,4.55,14
COL1A1,5380,4.52,13.91
EXT1,4460,4.42,13.6
KDM5A,6434,4.38,13.48
LIFR,6269,4.36,13.42
HOXA11,1220,4.36,13.42
TSC2,5839,4.33,13.32
DOT1L,5898,4.31,13.26
ZFX,4642,4.23,13.02
NCOA1,4404,4.21,12.96
SMO,2182,4.17,12.83
MRTFA,3292,4.11,12.65
LATS2,2770,4.09,12.59
MLH1,1746,4.08,12.56
SMAD2,17822,4.04,12.43
CRTC3,5233,3.99,12.28
ZXDB,2814,3.94,12.12
KMT2C,9541,3.91,12.03
BLM,3044,3.83,11.79
BCR,5756,3.83,11.79
CBFA2T3,2763,3.81,11.72
ZNF780A,3668,3.79,11.66
SUSD2,2427,3.79,11.66
QKI,7969,3.78,11.63
HOOK3,6966,3.77,11.6
PTPN14,8569,3.77,11.6
CAMTA1,4524,3.72,11.45
ZRSR2,927,3.68,11.32
ARHGAP26,5924,3.66,11.26
MAP2,5070,3.62,11.14
BARD1,2660,3.61,11.11
DNMT3A,5246,3.6,11.08
BRIP1,3484,3.59,11.05
KAT6B,5796,3.57,10.99
RMI2,1171,3.57,10.99
CDK6,5315,3.57,10.99
FOXO1,2487,3.53,10.86
FBXW7,4408,3.53,10.86
APC,5162,3.42,10.52
ARID1B,6665,3.36,10.34
JAK2,2341,3.33,10.25
CDX2,1653,3.31,10.19
PTK6,1154,3.23,9.94
CEBPA,1024,3.21,9.88
ZNF680,2167,3.2,9.85
NUP214,5002,3.16,9.72
NFKBIE,987,3.15,9.69
PPT2,1117,3.13,9.63
SDHAF2,916,3.03,9.32
AXIN2,1909,3.01,9.26
CCND3,2079,2.95,9.08
U2AF1,3874,2.87,8.83
FANCF,1475,2.85,8.77
CHCHD7,2020,2.84,8.74
PRF1,861,2.8,8.62
ACVR2A,2276,2.77,8.52
IRF1,2581,2.73,8.4
ATG7,2845,2.66,8.19
ARHGEF10L,2508,2.64,8.12
CNTRL,2997,2.62,8.06
NFATC2,2584,2.57,7.91
ASPSCR1,3748,2.55,7.85
FANCC,2428,2.53,7.79
STAT5B,1971,2.52,7.75
ERCC4,2576,2.51,7.72
TRIM24,2732,2.44,7.51
FBLN1,2088,2.41,7.42
JAK3,1972,2.39,7.35
PIK3R1,3088,2.36,7.26
FLCN,2769,2.33,7.17
NF1,7507,2.32,7.14
POLQ,2612,2.29,7.05
MAP3K13,3493,2.28,7.02
PLCB4,1900,2.27,6.99
CYLD,3552,2.26,6.95
GLI1,1140,2.24,6.89
FHIT,1475,2.24,6.89
TEC,1076,2.2,6.77
PRDM2,2861,2.16,6.65
GATA2,1148,2.12,6.52
ERCC5,1694,2.09,6.43
LRIG3,1434,2.01,6.19
SOCS1,296,1.99,6.12
RET,1588,1.97,6.06
WNK2,3161,1.97,6.06
RRAGC,1231,1.96,6.03
NRP1,2602,1.86,5.72
BRCA2,2676,1.8,5.54
NBEA,2594,1.79,5.51
PML,2737,1.78,5.48
EGR2,791,1.77,5.45
PDE4DIP,5890,1.76,5.42
BIRC3,1555,1.71,5.26
PRDM16,1992,1.68,5.17
CEP43,3091,1.68,5.17
CBLB,2359,1.64,5.05
WNK4,997,1.62,4.99
FES,800,1.56,4.8
NFIB,1962,1.54,4.74
HOXA13,924,1.5,4.62
TET2,2962,1.48,4.55
AMER1,1493,1.46,4.49
PBX1,3686,1.43,4.4
SYK,890,1.41,4.34
TBX3,1011,1.4,4.31
MB21D2,566,1.39,4.28
LMO2,515,1.37,4.22
CASZ1,1821,1.32,4.06
GAS7,1596,1.3,4
CLTCL1,1548,1.27,3.91
REL,1715,1.26,3.88
TLX3,226,1.25,3.85
HOXC13,361,1.23,3.79
ENPEP,1148,1.21,3.72
FN1,2546,1.21,3.72
MTCP1,437,1.2,3.69
ZFHX3,2441,1.15,3.54
MN1,1046,1.12,3.45
TNFAIP3,665,1.09,3.35
ABCB1,747,1.06,3.26
HEY1,416,1.06,3.26
MAML2,905,1.05,3.23
SATB1,1649,1.01,3.11
PTCH1,2039,1.01,3.11
TENT5C,691,0.99,3.05
FOXP1,1625,0.98,3.02
CD274,479,0.96,2.95
CDKN2C,375,0.93,2.86
BCL2,843,0.91,2.8
SIX1,600,0.91,2.8
ZEB1,915,0.87,2.68
CPEB3,803,0.83,2.55
PAX8,741,0.83,2.55
MLLT3,808,0.82,2.52
MUC1,457,0.8,2.46
TFEB,539,0.79,2.43
HLF,632,0.79,2.43
TERT,430,0.77,2.37
GATA3,289,0.73,2.25
MYB,468,0.7,2.15
SRGAP3,1567,0.68,2.09
RAD51B,592,0.65,2
USP6,880,0.64,1.97
TET1,688,0.61,1.88
FOXA1,296,0.61,1.88
SALL4,293,0.59,1.82
MEF2B,118,0.53,1.63
GPC3,171,0.52,1.6
PRDM1,381,0.49,1.51
KCNJ5,353,0.48,1.48
MITF,410,0.47,1.45
NKX2-1,175,0.46,1.42
DDR2,592,0.45,1.38
SGK1,491,0.41,1.26
WAS,114,0.39,1.2
FOXD4L1,114,0.38,1.17
FOXA2,119,0.38,1.17
PLAG1,347,0.37,1.14
NUTM2D,310,0.37,1.14
ZBTB20,370,0.37,1.14
FLT3,180,0.36,1.11
LMO1,72,0.35,1.08
NTRK1,182,0.34,1.05
FAT4,665,0.33,1.02
ZNF814,445,0.29,0.89
TAL2,22,0.28,0.86
CACNA1D,364,0.28,0.86
MECOM,287,0.26,0.8
IL21R,155,0.23,0.71
LYL1,86,0.23,0.71
MAFB,94,0.23,0.71
LRP1B,456,0.22,0.68
BCL11B,206,0.22,0.68
MLLT11,109,0.22,0.68
NR4A3,142,0.19,0.58
POU5F1,68,0.19,0.58
CXCR4,52,0.19,0.58
TLL1,164,0.18,0.55
KEL,86,0.18,0.55
KDR,139,0.18,0.55
TNC,197,0.17,0.52
ZNRF3,139,0.16,0.49
LCK,63,0.16,0.49
POU2F2,166,0.15,0.46
CD74,49,0.13,0.4
CRLF2,32,0.13,0.4
CYP2C8,38,0.12,0.37
AKT3,129,0.11,0.34
CD79B,28,0.11,0.34
H4C9,17,0.11,0.34
HOXC11,44,0.11,0.34
CARD11,56,0.1,0.31
SP140,65,0.1,0.31
CREB3L1,44,0.09,0.28
IKZF3,99,0.08,0.25
SOX2,22,0.07,0.22
TLX1,28,0.07,0.22
POU2AF1,63,0.07,0.22
RGPD3,41,0.06,0.18
NUTM2B,39,0.06,0.18
H3C2,3,0.06,0.18
BCL11A,62,0.06,0.18
SFMBT2,65,0.05,0.15
CD79A,10,0.05,0.15
NRG1,70,0.05,0.15
PDGFRB,45,0.05,0.15
CCR7,11,0.04,0.12
MPL,11,0.04,0.12
ALB,17,0.04,0.12
FGD5,27,0.03,0.09
KLHL6,32,0.03,0.09
ZBTB16,20,0.03,0.09
EPHA7,27,0.03,0.09
ERBB4,53,0.03,0.09
FLT4,36,0.03,0.09
ZNF331,29,0.03,0.09
ELN,18,0.02,0.06
FAM174B,10,0.02,0.06
MYCN,5,0.02,0.06
MYH11,37,0.02,0.06
SSX1,3,0.02,0.06
ZNF626,15,0.02,0.06
TMPRSS2,14,0.02,0.06
ZNF429,11,0.02,0.06
HOXD11,6,0.02,0.06
HOXD13,6,0.02,0.06
CIITA,40,0.02,0.06
ITK,20,0.02,0.06
BTK,9,0.02,0.06
CR1,20,0.01,0.03
COL2A1,6,0.01,0.03
FAT3,29,0.01,0.03
P2RY8,6,0.01,0.03
HNF1A,8,0.01,0.03
IL7R,5,0.01,0.03
TNFRSF14,10,0.01,0.03
TNFRSF17,1,0.01,0.03
IRF4,9,0.01,0.03
TSHR,6,0.01,0.03
CDH10,3,0.01,0.03
LTB,2,0.01,0.03
WIF1,2,0.01,0.03
AFF3,23,0.01,0.03
PTPRB,15,0.01,0.03
TP63,6,0.01,0.03
UGT2B17,2,0.01,0.03
ZNF521,9,0.01,0.03
WT1,3,0.01,0.03
RHOH,7,0.01,0.03
ZNF208,9,0.01,0.03
FAT2,14,0.01,0.03
RSPH10B2,6,0.01,0.03
ZNF93,3,0.01,0.03
KLK2,2,0,0
EPHA3,0,0,0
ESR1,2,0,0
ERG,4,0,0
DTX1,2,0,0
USP44,0,0,0
CSF3R,3,0,0
EBF1,0,0,0
CYSLTR2,0,0,0
FBN2,4,0,0
FCGR2B,3,0,0
FOXL2,0,0,0
TAL1,0,0,0
TCL1A,0,0,0
TCF4,6,0,0
FEV,0,0,0
FAM186A,5,0,0
SLC34A2,2,0,0
FLI1,0,0,0
CDH11,0,0,0
CCND2,0,0,0
GATA1,0,0,0
OLIG2,1,0,0
SOX21,0,0,0
SOX17,0,0,0
GRIN2A,4,0,0
SOHLH2,1,0,0
HGF,0,0,0
IKZF1,0,0,0
DCC,4,0,0
SFRP4,1,0,0
SETBP1,0,0,0
RSPO3,0,0,0
IRS4,0,0,0
RSPO2,0,0,0
ATP2B3,1,0,0
KIT,2,0,0
RUNX1T1,1,0,0
FAM135B,2,0,0
RBFOX1,1,0,0
LOX,1,0,0
LEF1,1,0,0
AR,0,0,0
ROS1,2,0,0
MAF,0,0,0
PTPRT,0,0,0
PTPRD,0,0,0
PTPRC,2,0,0
RGS7,0,0,0
MYOD1,0,0,0
PRRX1,0,0,0
PRKCB,0,0,0
NRK,2,0,0
NEFH,1,0,0
PEG3,2,0,0
ACKR3,0,0,0
ALK,3,0,0
PDGFRA,0,0,0
PCDH17,0,0,0
PDCD1LG2,0,0,0
DCAF12L2,0,0,0
DCSTAMP,0,0,0
LPAR4,0,0,0
LY75-CD302,0,0,0
NUTM1,1,0,0
PREX2,4,0,0
NTRK3,6,0,0
PHOX2B,0,0,0
PAX7,1,0,0
PAX5,1,0,0
SSX2,0,0,0
PAX3,0,0,0
SSX4,0,0,0
TRIM49C,0,0,0
IL2,0,0,0
FCRL4,0,0,0
