Symbol,Read_count,FPKM_value,TPM_value
CCND2,23558,31.26,109.33
TCIRG1,14423,31.25,109.29
EWSR1,33937,31.21,109.16
GNAS,43386,30.93,108.18
HOXA9,9825,30.81,107.76
SMARCB1,8045,30.8,107.72
LASP1,22235,29.91,104.61
PPFIBP1,36678,29.8,104.22
SDHA,26170,29.65,103.7
IDH1,14485,29.14,101.92
TRAF7,13288,28.11,98.31
FUS,30400,28.08,98.21
FUBP1,16451,27.57,96.42
PARP4,17530,27.38,95.76
MAP2K2,14832,26.9,94.08
PDPR,29051,26.57,92.93
CBFB,11253,25.88,90.51
DAZAP1,25002,25.81,90.27
DHX9,15167,25.52,89.25
USP9X,37245,25.33,88.59
PIM1,7941,25.33,88.59
FH,5435,24.1,84.29
ELF4,10689,23.52,82.26
BCLAF1,22843,23.34,81.63
AKT1,27138,23.09,80.76
TFG,11980,22.78,79.67
BCL9L,24997,22.67,79.29
CDK4,7547,22.63,79.15
TPM3,19835,22.46,78.55
CD58,4158,22.15,77.47
XPC,11076,21.92,76.66
ERBB3,19983,21.92,76.66
JAK1,14534,21.85,76.42
NAB2,6842,21.59,75.51
BAX,5839,21.44,74.98
MSH2,10269,21.43,74.95
UBE2D2,7930,21.18,74.08
ESRRA,6749,21.15,73.97
IFNGR1,5708,21.09,73.76
PICALM,12924,21.04,73.59
NFE2L2,13151,20.89,73.06
PRKAR1A,14833,20.65,72.22
GNAI2,16486,20.47,71.59
STAG2,17588,20.4,71.35
RPS6KA3,18729,20.13,70.4
SMARCA4,23326,20.02,70.02
TPR,25909,19.92,69.67
SRSF3,14919,19.91,69.63
FSTL3,6331,19.71,68.93
CCDC6,15036,19.44,67.99
HMGA2,31091,19.17,67.05
RBM10,7718,18.85,65.93
MAP2K1,7384,18.66,65.26
SUZ12,12825,18.6,65.05
GNA13,9962,18.54,64.84
PAK2,12171,18.44,64.49
TCF7L2,9566,18.41,64.39
IDH2,5445,18.38,64.28
CDKN1B,5433,18.36,64.21
TRRAP,24863,17.86,62.46
NCOR2,25815,17.54,61.34
CHD2,28875,17.44,61
LDB1,5122,17.44,61
ERBB2,18811,17.31,60.54
NT5C3A,6332,17.22,60.23
NRAS,8062,17.21,60.19
ABI1,7544,16.99,59.42
MLLT6,23790,16.97,59.35
PPP2R1A,13269,16.94,59.25
BRD7,15053,16.83,58.86
MCM3AP,16488,16.73,58.51
GNA11,10954,16.67,58.3
ACSL3,12677,16.63,58.16
CREB3L2,15333,16.57,57.95
RGL3,7494,16.33,57.11
AFDN,23517,16.28,56.94
HIP1,15309,16.24,56.8
TRAF3,14115,16.22,56.73
SEPTIN9,21911,16.2,56.66
JUN,5986,16.06,56.17
DDX6,18886,15.67,54.8
NPEPPS,18981,15.66,54.77
ARHGAP5,17926,15.64,54.7
KTN1,28617,15.46,54.07
NUP98,16114,15.45,54.04
AFF4,18303,15.39,53.83
NUMA1,24435,15.24,53.3
VHL,6746,15.21,53.2
SH3GL1,5868,15.12,52.88
PSIP1,10684,14.99,52.43
KRAS,11514,14.98,52.39
CANT1,6940,14.91,52.15
CTCF,6736,14.87,52.01
HIF1A,8033,14.81,51.8
RNF6,7181,14.76,51.62
GMPS,13596,14.53,50.82
RELA,8357,14.53,50.82
RABEP1,9939,14.45,50.54
RALGDS,11569,14.41,50.4
NBN,9325,14.39,50.33
PPP3CA,7782,14.18,49.59
AXIN1,11094,14.07,49.21
ASXL1,13826,13.89,48.58
FBXO11,10276,13.8,48.26
SS18L1,7385,13.77,48.16
RANBP2,17816,13.75,48.09
CBLC,2286,13.75,48.09
SMC1A,15111,13.69,47.88
FGFR3,6969,13.69,47.88
EZH2,6511,13.67,47.81
RIPK1,6092,13.67,47.81
MAX,6259,13.42,46.94
PDGFB,5306,13.4,46.87
PAFAH1B2,10004,13.37,46.76
TP53,5536,13.36,46.73
PTEN,16327,13.3,46.52
ABL1,8701,13.17,46.06
KEAP1,5203,13.14,45.96
MLLT1,6523,13.07,45.71
PRKCD,4636,12.97,45.36
PIK3CB,10724,12.97,45.36
RBM38,3653,12.92,45.19
TBL1XR1,14363,12.85,44.94
EHD2,5301,12.83,44.87
NOTCH1,13351,12.83,44.87
ZCRB1,3284,12.75,44.59
STAT5B,8615,12.69,44.38
HERPUD1,6847,12.61,44.1
PATZ1,7532,12.57,43.96
DICER1,16229,12.54,43.86
DNM2,17737,12.53,43.82
SPEN,17491,12.5,43.72
ZNF165,2767,12.47,43.61
GTF2I,13703,12.47,43.61
HSPG2,23191,12.47,43.61
NSD3,20010,12.46,43.58
TGIF1,10727,12.39,43.33
ZMYM2,17737,12.37,43.26
ARHGEF10,14012,12.33,43.12
GNAQ,8596,12.32,43.09
RASA1,6688,12.14,42.46
EXT2,6706,12.05,42.14
PPP6C,5591,11.95,41.79
ERCC3,9313,11.95,41.79
KLHL36,12536,11.91,41.65
CDK12,16018,11.91,41.65
RBFOX2,12402,11.76,41.13
EP300,11843,11.73,41.02
WRN,6926,11.68,40.85
BUB1B,5490,11.65,40.75
TRIM33,11703,11.61,40.61
FANCG,4411,11.59,40.54
DGCR8,8920,11.58,40.5
TRIM27,9554,11.36,39.73
ZNF384,6091,11.17,39.07
KMT2B,12082,11.16,39.03
BCR,14455,11.08,38.75
FIP1L1,8341,11.05,38.65
GOPC,5811,11.01,38.51
KDM3B,9172,10.94,38.26
PRCC,4698,10.86,37.98
SRC,7317,10.74,37.56
STAT6,8234,10.72,37.49
KLF4,4126,10.71,37.46
CBL,12893,10.68,37.35
NIN,15377,10.67,37.32
SMARCD1,5747,10.63,37.18
RHPN2,5372,10.62,37.14
SS18,6863,10.61,37.11
MLLT10,7642,10.6,37.07
NKTR,19378,10.6,37.07
PRKD2,6045,10.54,36.86
DAXX,4060,10.52,36.79
SETD1B,9176,10.48,36.65
BRD3,7557,10.44,36.51
EPS15,8146,10.4,36.37
CNOT3,7290,10.37,36.27
MAP2K7,5613,10.36,36.23
NCOR1,16790,10.35,36.2
BCL7A,7125,10.31,36.06
DIS3,11733,10.28,35.95
SMAD3,9811,10.22,35.74
MAPK1,12074,10.12,35.39
MARK2,6551,10.11,35.36
HRAS,1958,10.03,35.08
RECQL4,4436,9.95,34.8
NXF1,6481,9.94,34.76
EFTUD2,10770,9.86,34.48
RASA2,6219,9.86,34.48
BAP1,5236,9.84,34.41
CUX1,18194,9.71,33.96
ELK4,12353,9.66,33.79
RAF1,7897,9.56,33.44
DROSHA,7796,9.52,33.3
NPRL2,3683,9.51,33.26
UBR5,13066,9.48,33.16
ZRSR2,2072,9.47,33.12
PRF1,2496,9.35,32.7
MDM2,13054,9.34,32.67
CDC73,5254,9.32,32.6
SOS1,9089,9.32,32.6
KDSR,8838,9.04,31.62
PLCG1,9181,9.04,31.62
ETNK1,7781,9.02,31.55
EML4,7941,9.02,31.55
GPHN,5696,9.01,31.51
ZBTB7B,4079,9,31.48
PRR14,3650,8.98,31.41
MEN1,3994,8.93,31.23
ATF1,2606,8.87,31.02
ARHGAP35,10486,8.86,30.99
FOXO3,7152,8.8,30.78
AJUBA,5524,8.77,30.67
UBE2A,4849,8.73,30.53
ETV4,3307,8.71,30.46
BCORL1,7314,8.69,30.39
ELL,4492,8.66,30.29
KIFC1,3051,8.66,30.29
STK11,7842,8.62,30.15
BCL2L12,1997,8.56,29.94
NSD2,17546,8.43,29.48
MYD88,3496,8.32,29.1
KMT2D,17924,8.31,29.06
NT5C2,4508,8.3,29.03
NOTCH2,14621,8.26,28.89
SDHC,12205,8.19,28.64
XPA,1579,8.18,28.61
BRD4,10327,8.11,28.36
KDM6A,6094,8.11,28.36
PMS2,3346,8.07,28.22
NSD1,12886,8.03,28.08
AKT2,12564,7.94,27.77
HTRA2,2489,7.88,27.56
BRAF,8561,7.83,27.38
ARNT,5355,7.81,27.31
KAT6A,9712,7.78,27.21
INO80,5689,7.7,26.93
ZNF721,5150,7.65,26.76
BTG1,3912,7.65,26.76
PRKACA,4913,7.59,26.55
CCNE1,2038,7.59,26.55
ARHGEF12,19291,7.51,26.27
RAP1GDS1,4281,7.5,26.23
CUL3,9090,7.5,26.23
ETV5,4557,7.46,26.09
TGFBR2,3684,7.44,26.02
TFE3,3354,7.44,26.02
TRIP11,8104,7.42,25.95
KMT2C,15573,7.35,25.71
NF2,5530,7.32,25.6
WNK2,10131,7.29,25.5
BIRC6,13611,7.29,25.5
NFIB,8058,7.28,25.46
FANCA,7424,7.24,25.32
PCM1,10968,7.21,25.22
TMEM127,4797,7.16,25.04
EPAS1,5499,7.15,25.01
TFAP4,5891,7.11,24.87
FAS,2750,7.08,24.76
MAP2K4,4259,7.08,24.76
LATS2,4145,7.06,24.69
MSH6,8127,7.02,24.55
RNF213,21097,7.01,24.52
CARS1,7367,6.97,24.38
PHF6,5883,6.97,24.38
FGFR4,3532,6.95,24.31
CRNKL1,3305,6.87,24.03
SETDB1,5063,6.78,23.71
TSC1,7051,6.76,23.64
BIRC3,5336,6.74,23.57
KMT2A,15516,6.71,23.47
LZTR1,5325,6.69,23.4
CLIP1,11466,6.68,23.36
CEBPA,1849,6.67,23.33
POLD1,3384,6.62,23.15
ARHGEF10L,5402,6.56,22.94
DOT1L,7786,6.56,22.94
TSC2,7653,6.54,22.87
PBRM1,6596,6.49,22.7
TCF12,6363,6.4,22.38
RBM15,3148,6.4,22.38
DCTN1,6912,6.29,22
SMAD4,8628,6.24,21.82
LATS1,5656,6.22,21.75
FANCD2,5477,6.21,21.72
CHEK2,2705,6.2,21.68
MTOR,7738,6.06,21.19
IFNAR1,4016,6.05,21.16
CIC,6023,6.03,21.09
RB1,3882,5.98,20.91
ABL2,8292,5.94,20.77
AFF1,6685,5.92,20.7
MED12,4626,5.92,20.7
FOXO1,3579,5.85,20.46
PRDM1,3909,5.83,20.39
SETD2,6136,5.82,20.36
STRN,5113,5.82,20.36
STAT3,5397,5.82,20.36
RARA,2896,5.81,20.32
PCMTD1,4481,5.81,20.32
ASXL2,7949,5.8,20.29
ARID1A,5585,5.74,20.08
CREBBP,8999,5.67,19.83
CRTC1,4112,5.61,19.62
NIPBL,7347,5.57,19.48
NF1,15441,5.5,19.24
FOXA1,2296,5.48,19.17
IL6ST,5313,5.43,18.99
CDX2,2346,5.41,18.92
PIK3CA,5365,5.41,18.92
ARID2,6878,5.39,18.85
NUP214,7344,5.34,18.68
ACVR1,2231,5.31,18.57
ERCC2,3574,5.26,18.4
BCL10,1549,5.22,18.26
ATR,6798,5.17,18.08
FANCE,1391,5.17,18.08
DUSP16,3093,5.13,17.94
HERC2,10748,5.1,17.84
ATM,11962,5.09,17.8
POT1,3150,5.07,17.73
FLCN,5203,5.05,17.66
PALB2,2515,5.03,17.59
PTPN14,9904,5.01,17.52
TBX3,3132,5,17.49
DDX10,4449,4.99,17.45
IKBKB,5306,4.92,17.21
FOXO4,1782,4.91,17.17
RXRA,5591,4.91,17.17
MDM4,5685,4.9,17.14
MALT1,5582,4.89,17.1
ZFX,4639,4.88,17.07
ZNF680,2851,4.85,16.96
PTPN13,4805,4.81,16.82
CRTC3,5462,4.8,16.79
CREB1,4814,4.77,16.68
SGK1,4941,4.7,16.44
HOXA11,1140,4.69,16.4
BMPR1A,5584,4.67,16.33
BMPR2,5818,4.65,16.26
CASZ1,5441,4.56,15.95
SMARCE1,5294,4.56,15.95
ZNF148,5061,4.55,15.91
SIN3A,5909,4.51,15.77
ATF7IP,6175,4.45,15.56
JAK2,2702,4.43,15.49
KDM5A,5635,4.42,15.46
KAT6B,6205,4.4,15.39
ARID1B,7482,4.35,15.21
ING1,2889,4.3,15.04
ATRX,8449,4.21,14.72
STIL,3226,4.2,14.69
EXT1,3683,4.2,14.69
NFKBIE,1134,4.17,14.58
NCOA2,4387,4.16,14.55
USP8,8891,4.09,14.3
POLE,7117,4.07,14.23
TRIM24,3918,4.03,14.09
BCL3,1372,4.02,14.06
LPP,10791,4.01,14.02
TNFAIP3,2110,3.97,13.88
NCOA1,3544,3.9,13.64
PTPRK,3700,3.9,13.64
BCOR,3492,3.88,13.57
ZXDB,2316,3.73,13.05
PER1,2753,3.73,13.05
MRTFA,2584,3.72,13.01
MSI2,8314,3.68,12.87
DNMT3A,4629,3.66,12.8
FBXW7,3960,3.66,12.8
WDCP,1465,3.62,12.66
GATA2,1695,3.61,12.63
LRIG3,2236,3.6,12.59
MYCL,1902,3.57,12.49
PTK6,1108,3.57,12.49
PPT2,1091,3.52,12.31
MAP3K1,2850,3.51,12.28
RMI2,992,3.49,12.21
PPM1D,1848,3.48,12.17
TEC,1446,3.41,11.93
BARD1,2160,3.38,11.82
SLC45A3,1317,3.38,11.82
MYB,1916,3.31,11.58
MGA,6129,3.3,11.54
HOOK3,5248,3.27,11.44
SYK,1794,3.27,11.44
SUFU,2342,3.24,11.33
APC,4135,3.16,11.05
PML,4207,3.16,11.05
HOXA13,1681,3.14,10.98
ELF3,2365,3.12,10.91
HNF1A,1634,3.09,10.81
ERC1,4331,3.05,10.67
ASPSCR1,3843,3.02,10.56
TNFRSF14,1941,2.96,10.35
BCL9,1976,2.92,10.21
CASP8,2227,2.92,10.21
ERCC5,2032,2.89,10.11
MUTYH,1186,2.88,10.07
SMAD2,10985,2.87,10.04
CDK6,3694,2.86,10
MYO5A,3899,2.85,9.97
ARAF,1033,2.78,9.72
CHCHD7,1710,2.77,9.69
PDE4DIP,8030,2.76,9.65
CCND3,1665,2.73,9.55
IRF1,2205,2.69,9.41
RRAGC,1409,2.59,9.06
KNL1,2779,2.57,8.99
PTCH1,4449,2.55,8.92
SDHAF2,667,2.54,8.88
MAML2,1891,2.53,8.85
BRCA1,2259,2.44,8.53
BCL2,1958,2.43,8.5
BLM,1675,2.43,8.5
SH2B3,1424,2.38,8.32
SPOP,1591,2.37,8.29
PRDM2,2684,2.33,8.15
FANCC,1920,2.3,8.04
SATB1,3235,2.29,8.01
BCL6,1407,2.25,7.87
FGFR2,1753,2.22,7.76
EGR2,842,2.17,7.59
WDR45,1017,2.16,7.55
WNK4,1136,2.12,7.41
PRDM16,2113,2.05,7.17
POLQ,2017,2.04,7.13
CLTCL1,2089,1.97,6.89
CBFA2T3,1240,1.97,6.89
FANCF,881,1.96,6.85
CAMTA1,2056,1.95,6.82
U2AF1,2264,1.94,6.79
BRIP1,1582,1.88,6.58
MAP3K13,2389,1.8,6.3
AMER1,1558,1.75,6.12
ERCC4,1553,1.74,6.09
PTPN6,901,1.71,5.98
ATG7,1543,1.66,5.81
CEP43,2642,1.66,5.81
CYLD,2248,1.65,5.77
FHIT,930,1.62,5.67
ZNF780A,1362,1.62,5.67
APOBEC3B,312,1.56,5.46
TNC,1575,1.55,5.42
BCL11A,1304,1.54,5.39
CNTRL,1510,1.52,5.32
ACVR2A,1074,1.51,5.28
CBLB,1859,1.49,5.21
ARHGAP26,1981,1.41,4.93
WWTR1,1249,1.41,4.93
REL,1649,1.39,4.86
PAX8,1043,1.34,4.69
PIK3R1,1506,1.33,4.65
CMTR2,1040,1.3,4.55
TET2,2226,1.28,4.48
ZNRF3,919,1.25,4.37
SRGAP3,2455,1.23,4.3
POU5F1,370,1.22,4.27
RAD51B,943,1.2,4.2
PLCB4,852,1.17,4.09
ETV6,854,1.15,4.02
TERT,553,1.14,3.99
MTCP1,359,1.14,3.99
BRCA2,1462,1.13,3.95
CDKN2C,393,1.12,3.92
ZFHX3,2022,1.1,3.85
JAK3,780,1.09,3.81
CD79A,172,1.09,3.81
CD274,462,1.07,3.74
PPARG,446,1.05,3.67
CACNA1D,1126,1,3.5
TFEB,588,0.99,3.46
FOXP1,1375,0.96,3.36
CPEB3,712,0.85,2.97
FAM174B,413,0.84,2.94
TENT5C,497,0.82,2.87
ZEB1,728,0.8,2.8
NFATC2,657,0.75,2.62
MLLT11,318,0.74,2.59
H4C9,100,0.73,2.55
MITF,507,0.67,2.34
RUNX1,1026,0.63,2.2
PLAG1,488,0.59,2.06
SMO,260,0.57,1.99
HOXC13,140,0.55,1.92
PTPRC,474,0.54,1.89
NR4A3,264,0.4,1.4
ACKR3,96,0.4,1.4
DDR2,453,0.4,1.4
PBX1,851,0.38,1.33
SOCS1,46,0.36,1.26
POU2F2,328,0.35,1.22
CDKN2A,148,0.32,1.12
USP6,380,0.32,1.12
TET1,306,0.31,1.08
ZNF814,398,0.3,1.05
MECOM,261,0.27,0.94
MUC1,127,0.26,0.91
MLLT3,225,0.26,0.91
RRAS2,90,0.25,0.87
MEF2B,47,0.24,0.84
GLI1,102,0.23,0.8
WAS,54,0.22,0.77
PRRX1,183,0.21,0.73
AKT3,187,0.19,0.66
FES,82,0.18,0.63
ZBTB20,140,0.16,0.56
ENPEP,124,0.15,0.52
BCL11B,116,0.14,0.49
CXCR4,30,0.13,0.45
KCNJ5,84,0.13,0.45
HOXC11,40,0.12,0.42
SUSD2,68,0.12,0.42
IKZF3,120,0.11,0.38
VAV1,50,0.11,0.38
IRF4,68,0.11,0.38
MSN,66,0.1,0.35
TAL2,7,0.1,0.35
NTRK1,44,0.1,0.35
MPL,21,0.09,0.31
TMPRSS2,49,0.08,0.28
FOXA2,23,0.08,0.28
ETV1,82,0.08,0.28
CCR7,20,0.08,0.28
SFMBT2,89,0.08,0.28
KEL,29,0.07,0.24
RET,51,0.07,0.24
POU2AF1,43,0.06,0.21
COL1A1,63,0.06,0.21
HEY1,22,0.06,0.21
MAFB,20,0.06,0.21
ZNF429,29,0.05,0.17
PTPRB,83,0.05,0.17
RGPD3,28,0.05,0.17
NUTM2D,34,0.05,0.17
TLX1,17,0.05,0.17
GAS7,46,0.04,0.14
ZNF93,21,0.04,0.14
LCK,9,0.03,0.1
ZNF331,24,0.03,0.1
SP140,17,0.03,0.1
CRLF2,7,0.03,0.1
KLHL6,29,0.03,0.1
CIITA,46,0.03,0.1
MYCN,9,0.03,0.1
RSPH10B2,11,0.02,0.07
ZBTB16,12,0.02,0.07
MYH11,34,0.02,0.07
MN1,19,0.02,0.07
SALL4,10,0.02,0.07
ZNF626,14,0.02,0.07
SMARCA1,9,0.02,0.07
P2RY8,8,0.02,0.07
NRP1,25,0.02,0.07
PDGFRB,18,0.02,0.07
LYL1,6,0.02,0.07
LEF1,14,0.02,0.07
FOXD4L1,6,0.02,0.07
FLT4,19,0.02,0.07
CD74,6,0.02,0.07
LIFR,13,0.01,0.03
SOX2,3,0.01,0.03
PREX2,9,0.01,0.03
RHOH,7,0.01,0.03
SLC34A2,3,0.01,0.03
UGT2B17,2,0.01,0.03
ATP2B3,4,0.01,0.03
ITK,11,0.01,0.03
FN1,26,0.01,0.03
FBLN1,10,0.01,0.03
FAT3,29,0.01,0.03
SOX21,2,0.01,0.03
ZNF208,8,0.01,0.03
BTK,4,0.01,0.03
AFF3,10,0.01,0.03
PTPRD,6,0.01,0.03
SETBP1,10,0.01,0.03
CSF3R,6,0.01,0.03
COL2A1,5,0.01,0.03
MLF1,2,0.01,0.03
FBN2,18,0.01,0.03
LTB,1,0.01,0.03
SSX1,1,0.01,0.03
FGD5,7,0.01,0.03
KLK2,5,0.01,0.03
LOX,4,0.01,0.03
NUTM2B,3,0.01,0.03
CR1,10,0.01,0.03
FGFR1,11,0.01,0.03
FAM135B,6,0,0
FCGR2B,0,0,0
FCRL4,0,0,0
PHOX2B,0,0,0
TAL1,0,0,0
FEV,1,0,0
OLIG2,0,0,0
CARD11,0,0,0
TLL1,0,0,0
TLX3,0,0,0
NUTM1,2,0,0
TNFRSF17,0,0,0
GPC3,0,0,0
GRIN2A,2,0,0
H3C2,0,0,0
HLF,2,0,0
IRS4,0,0,0
AR,0,0,0
ALK,0,0,0
ALB,0,0,0
ZNF521,1,0,0
LRP1B,0,0,0
LPAR4,0,0,0
RSPO2,2,0,0
RSPO3,0,0,0
DTX1,2,0,0
RUNX1T1,2,0,0
RGS7,0,0,0
DCSTAMP,0,0,0
DCC,6,0,0
SIRPA,0,0,0
SIX1,1,0,0
EPHA3,0,0,0
DCAF12L2,0,0,0
CYSLTR2,2,0,0
CYP2C8,0,0,0
EPHA7,0,0,0
ERBB4,0,0,0
CREB3L1,1,0,0
QKI,3,0,0
SSX2,0,0,0
SSX4,0,0,0
MB21D2,0,0,0
ERG,0,0,0
IL7R,0,0,0
EBF1,0,0,0
TP63,3,0,0
IL21R,1,0,0
KDR,0,0,0
RBFOX1,0,0,0
CDH11,0,0,0
CDH10,1,0,0
KIT,0,0,0
TRIM49C,0,0,0
CD79B,0,0,0
NTRK3,12,0,0
TSHR,0,0,0
LMO1,0,0,0
LMO2,1,0,0
LY75-CD302,0,0,0
PTPRT,0,0,0
USP44,0,0,0
MAF,0,0,0
MAP2,0,0,0
WIF1,0,0,0
PRKCB,0,0,0
MLH1,0,0,0
WT1,1,0,0
MYOD1,0,0,0
NBEA,3,0,0
NEFH,0,0,0
ABCB1,1,0,0
PEG3,0,0,0
PDGFRA,1,0,0
SOX17,0,0,0
PDCD1LG2,0,0,0
NRG1,2,0,0
PCDH17,1,0,0
NRK,0,0,0
PAX7,2,0,0
PAX5,0,0,0
PAX3,0,0,0
NKX2-1,0,0,0
FLI1,0,0,0
FAT4,0,0,0
SOHLH2,0,0,0
FAT2,3,0,0
FLT3,1,0,0
SFRP4,0,0,0
FAM186A,3,0,0
FOXL2,0,0,0
TCF4,0,0,0
GATA1,0,0,0
GATA3,0,0,0
ESR1,0,0,0
TCL1A,0,0,0
HGF,0,0,0
HOXD11,0,0,0
ROS1,3,0,0
HOXD13,1,0,0
IKZF1,0,0,0
ELN,3,0,0
IL2,0,0,0
