Symbol,Read_count,FPKM_value,TPM_value
ARHGEF10L,22490,22.85,80.32
ERBB2,29222,22.48,79.02
PTK6,8335,22.46,78.95
SRSF3,19697,21.97,77.23
PPP2R1A,20376,21.76,76.49
TNC,25956,21.39,75.19
DDX6,30003,20.82,73.19
NT5C2,13449,20.71,72.8
CARS1,26102,20.65,72.59
TMEM127,16508,20.59,72.38
SLC45A3,9567,20.52,72.13
CDKN1B,7105,20.07,70.55
STAG2,20694,20.07,70.55
NFE2L2,15039,19.97,70.2
KDM3B,19796,19.75,69.43
CBFB,10258,19.73,69.36
AFF4,27925,19.63,69.01
ATF1,6892,19.62,68.97
MAX,10838,19.43,68.3
NBN,14955,19.29,67.81
CRNKL1,11064,19.24,67.63
NCOR2,33353,18.95,66.61
MLLT1,11239,18.83,66.19
XPO1,27679,18.77,65.98
ZCRB1,5757,18.69,65.7
ETV4,8420,18.54,65.17
MLLT6,31014,18.5,65.03
TBL1XR1,24700,18.48,64.96
DNM2,31222,18.44,64.82
KEAP1,8682,18.33,64.44
KLF4,8446,18.33,64.44
NCOR1,35372,18.23,64.08
MSI2,48217,17.83,62.68
CD58,3977,17.71,62.26
ARHGAP26,29638,17.63,61.97
BAX,5705,17.51,61.55
RANBP2,27099,17.49,61.48
SYK,11459,17.47,61.41
EP300,21070,17.46,61.38
SDHC,30780,17.26,60.67
RBM10,8430,17.21,60.5
FOXA2,5630,17.17,60.36
NRAS,9484,16.93,59.51
TRIM27,17016,16.92,59.48
TPR,26196,16.84,59.2
RPS6KA3,18740,16.84,59.2
CDC73,11229,16.66,58.56
ARID1A,19277,16.56,58.21
CDKN1A,6332,16.49,57.97
FGD5,16557,16.34,57.44
FGFR4,9932,16.33,57.4
ARHGAP5,22325,16.28,57.23
CASP8,14816,16.24,57.09
PRCC,8362,16.16,56.81
EFTUD2,21089,16.14,56.74
CMTR2,15310,16.03,56.35
NUP98,19748,15.83,55.65
MAP3K1,15213,15.66,55.05
MAP2K2,10291,15.61,54.87
SMARCA4,21649,15.53,54.59
SMC1A,20440,15.48,54.42
NXF1,12019,15.41,54.17
STAT3,16960,15.28,53.71
MARK2,11817,15.25,53.61
RNF213,54581,15.17,53.33
AFF1,20294,15.01,52.76
CCDC6,13828,14.95,52.55
SMAD3,16896,14.72,51.75
DUSP16,10560,14.65,51.5
RUNX1,28623,14.59,51.29
ZNF384,9445,14.48,50.9
CDK12,23130,14.38,50.55
UBR5,23695,14.38,50.55
RIPK1,7295,13.69,48.12
SPOP,10956,13.64,47.95
ARHGEF12,41777,13.59,47.77
MCM3AP,15970,13.55,47.63
BIRC6,30193,13.53,47.56
VHL,7170,13.51,47.49
CCNB1IP1,6245,13.48,47.39
PIK3CB,13258,13.41,47.14
LDB1,4702,13.38,47.03
USP9X,23494,13.36,46.96
IFNAR1,10556,13.3,46.75
AXIN2,8579,13.04,45.84
NPEPPS,18860,13.01,45.73
ABI1,6857,12.91,45.38
ETV5,9435,12.91,45.38
ETNK1,13123,12.72,44.71
FIP1L1,11441,12.67,44.54
HOXA9,4809,12.61,44.33
CHD2,24822,12.54,44.08
MYB,8573,12.39,43.55
DAZAP1,14198,12.25,43.06
PTPN6,7665,12.15,42.71
RELA,8304,12.07,42.43
ERCC5,10050,11.96,42.04
PDPR,15525,11.87,41.73
TFE3,6362,11.8,41.48
SUZ12,9682,11.74,41.27
INO80,10374,11.74,41.27
PPP3CA,7673,11.69,41.09
SMARCD1,7526,11.64,40.92
EZH2,6623,11.63,40.88
APOBEC3B,2765,11.58,40.71
MAPK1,16507,11.56,40.64
TCF12,13747,11.56,40.64
AJUBA,8593,11.41,40.11
MLH1,5069,11.4,40.07
NIPBL,17944,11.37,39.97
TOP2A,9155,11.29,39.69
SETDB1,10033,11.23,39.48
BCL9L,14812,11.23,39.48
MAP2K7,7259,11.2,39.37
PTEN,16361,11.14,39.16
MSH2,6383,11.13,39.13
SH3GL1,5161,11.12,39.09
TFEB,7855,11.04,38.81
STAT5B,8931,11,38.67
NSD1,21050,10.97,38.56
CLIP1,22434,10.93,38.42
ASXL1,12943,10.87,38.21
WDR45,6113,10.84,38.11
EPAS1,9933,10.8,37.97
ABL1,8474,10.72,37.68
NOTCH1,13252,10.65,37.44
DROSHA,10366,10.58,37.19
RALGDS,10112,10.53,37.02
SPEN,17575,10.5,36.91
KLF6,8062,10.43,36.66
XPA,2405,10.42,36.63
AKT2,19574,10.34,36.35
NUMA1,19696,10.27,36.1
PPFIBP1,15112,10.27,36.1
FAM174B,6023,10.27,36.1
ELF4,5570,10.25,36.03
ARHGAP35,14416,10.18,35.79
CDKN2A,5524,10.13,35.61
PAFAH1B2,9058,10.12,35.57
GOPC,6350,10.06,35.36
PRKACA,7753,10.02,35.22
BAP1,6344,9.97,35.05
PPARG,5068,9.95,34.98
TCF7L2,6174,9.93,34.91
RBM38,3344,9.89,34.77
PRKCD,4186,9.79,34.41
FANCF,5263,9.79,34.41
KLHL36,12295,9.77,34.34
MTOR,14664,9.61,33.78
MYD88,4821,9.6,33.75
EXT2,6326,9.5,33.4
KRAS,8716,9.48,33.32
RHPN2,5729,9.47,33.29
BRD7,9998,9.35,32.87
FOXO3,9016,9.27,32.59
SS18,7155,9.25,32.52
NF1,30982,9.22,32.41
MEN1,4925,9.21,32.38
KTN1,20339,9.19,32.31
ASXL2,15049,9.18,32.27
KMT2D,23455,9.1,31.99
GMPS,9932,8.88,31.22
GNAQ,7349,8.8,30.93
CNOT3,7384,8.78,30.86
TSC1,10892,8.73,30.69
NKTR,19068,8.72,30.65
CUL3,12630,8.72,30.65
ZNF148,11583,8.7,30.58
TRIP11,11340,8.68,30.51
BCR,13457,8.63,30.34
BCL10,3049,8.59,30.2
BRD4,13044,8.57,30.13
PBRM1,10379,8.54,30.02
ETV6,7522,8.44,29.67
DICER1,13047,8.43,29.63
KMT2B,10880,8.41,29.56
TGIF1,8698,8.4,29.53
EXT1,8785,8.38,29.46
CIC,9987,8.35,29.35
CDK6,12873,8.34,29.32
NUP214,13660,8.3,29.18
RBFOX2,10468,8.3,29.18
FBXO11,7377,8.28,29.11
HOXA11,2402,8.27,29.07
HNF1A,5190,8.2,28.83
CREBBP,15542,8.19,28.79
DCTN1,10696,8.14,28.61
LPP,26137,8.13,28.58
ARNT,6651,8.11,28.51
HTRA2,3054,8.08,28.4
PSIP1,6881,8.07,28.37
FLCN,9911,8.04,28.26
RABEP1,6607,8.03,28.23
TSC2,11158,7.97,28.02
SDHAF2,2474,7.88,27.7
MUC1,4678,7.88,27.7
SETD1B,8184,7.82,27.49
DGCR8,7200,7.82,27.49
CREB3L1,3929,7.73,27.17
PHF6,7792,7.72,27.14
BCOR,8299,7.71,27.1
STRN,8063,7.67,26.96
RAF1,7567,7.66,26.93
PRKD2,5234,7.63,26.82
ATR,12006,7.63,26.82
NFKBIA,2272,7.6,26.72
XPC,4568,7.56,26.58
PML,12032,7.55,26.54
GNA11,5912,7.52,26.44
GTF2I,9890,7.52,26.44
FOXO4,3261,7.51,26.4
BRD3,6486,7.49,26.33
MAP2K4,5378,7.47,26.26
KDM6A,6703,7.46,26.22
ZRSR2,1925,7.36,25.87
HERC2,18338,7.27,25.56
CHCHD7,5281,7.15,25.13
PATZ1,5086,7.09,24.92
PCM1,12819,7.05,24.78
PCMTD1,6459,7,24.61
ERCC3,6516,6.99,24.57
NSD3,13315,6.93,24.36
TRIM33,8258,6.85,24.08
NCOA2,8623,6.83,24.01
CREB1,8218,6.82,23.97
GNAI2,6568,6.82,23.97
RXRA,9220,6.77,23.8
ATM,18857,6.71,23.59
KDM5A,10124,6.64,23.34
ELL,4116,6.63,23.31
ELK4,10085,6.6,23.2
CBLC,1307,6.57,23.1
SS18L1,4208,6.56,23.06
CUX1,14648,6.54,22.99
ZNF165,1726,6.5,22.85
PRR14,3134,6.45,22.67
ACVR1,3232,6.43,22.6
MDM4,8915,6.43,22.6
LZTR1,6104,6.41,22.53
LATS2,4423,6.3,22.15
IL6ST,7282,6.22,21.87
TNFAIP3,3942,6.2,21.79
USP8,16047,6.17,21.69
MED12,5751,6.15,21.62
IRF1,5919,6.03,21.2
SOS1,6944,5.95,20.92
EPS15,5564,5.94,20.88
POT1,4406,5.93,20.85
MECOM,6786,5.92,20.81
TRRAP,9851,5.92,20.81
DAXX,2725,5.91,20.78
AKT1,8287,5.9,20.74
SIN3A,9231,5.89,20.71
ZFX,6706,5.89,20.71
SETD2,7412,5.87,20.63
ING1,4717,5.86,20.6
KAT6A,8634,5.78,20.32
CASZ1,8238,5.77,20.28
BCL9,4650,5.75,20.21
RRAGC,3721,5.72,20.11
EGFR,9192,5.63,19.79
NPRL2,2596,5.61,19.72
SMARCE1,7760,5.59,19.65
PRDM2,7617,5.54,19.47
PIK3CA,6555,5.53,19.44
HRAS,1289,5.52,19.4
PALB2,3290,5.5,19.33
AXIN1,5164,5.48,19.26
BIRC3,5155,5.44,19.12
NIN,9352,5.43,19.09
GATA3,2195,5.36,18.84
RARA,3191,5.36,18.84
MYCN,1744,5.32,18.7
PLCG1,6396,5.26,18.49
BRCA1,5819,5.25,18.46
STK11,5676,5.22,18.35
NFKB2,2950,5.22,18.35
KMT2C,13111,5.18,18.21
TNFRSF14,4054,5.18,18.21
MRTFA,4292,5.16,18.14
KMT2A,14226,5.14,18.07
TCF3,3939,5.14,18.07
AFDN,8811,5.1,17.93
MLLT10,4325,5.02,17.65
ATF7IP,8264,4.98,17.51
BRCA2,7695,4.98,17.51
CYLD,8123,4.98,17.51
RAP1GDS1,3321,4.86,17.08
ZNF721,3900,4.85,17.05
CRTC1,4183,4.77,16.77
FOXP1,8147,4.75,16.7
RMI2,1610,4.73,16.63
NSD2,11708,4.7,16.52
PIK3R1,6371,4.7,16.52
NF2,4212,4.66,16.38
RBM15,2741,4.66,16.38
RASA2,3508,4.65,16.35
IKBKB,5985,4.64,16.31
DOT1L,6563,4.62,16.24
WNK4,2948,4.6,16.17
RRAS2,1999,4.6,16.17
CNTRL,5403,4.56,16.03
TBX3,3345,4.46,15.68
PTPN14,10519,4.45,15.64
MAF,3911,4.45,15.64
PIM1,1669,4.45,15.64
BCL2L12,1236,4.43,15.57
SH2B3,3163,4.42,15.54
LATS1,4794,4.4,15.47
KAT6B,7212,4.27,15.01
BRAF,5580,4.27,15.01
PTPRK,4812,4.25,14.94
MGA,9402,4.23,14.87
JAK2,3071,4.21,14.8
PPM1D,2617,4.12,14.48
TRIM24,4735,4.08,14.34
RGL3,2198,4,14.06
ATRX,9576,3.99,14.03
CARD11,2365,3.99,14.03
GPHN,2992,3.96,13.92
TLX1,1656,3.84,13.5
MALT1,5193,3.8,13.36
BMPR2,5462,3.65,12.83
MAML2,3259,3.64,12.8
BUB1B,2035,3.61,12.69
APC,5612,3.58,12.58
MUTYH,1754,3.56,12.51
ERCC2,2826,3.48,12.23
PMS2,1720,3.47,12.2
ARHGEF10,4652,3.42,12.02
NOTCH2,7187,3.4,11.95
PAX8,3139,3.37,11.85
ZNF780A,3388,3.37,11.85
ARID1B,6917,3.36,11.81
MLF1,1508,3.36,11.81
MYCL,2131,3.34,11.74
CBL,4782,3.31,11.64
MDM2,5506,3.29,11.57
ERC1,5535,3.26,11.46
CPEB3,3247,3.25,11.42
ZXDB,2404,3.24,11.39
KDSR,3777,3.23,11.35
ARID2,4903,3.21,11.28
WDCP,1556,3.21,11.28
ASPSCR1,4883,3.21,11.28
HEY1,1302,3.2,11.25
HSPG2,6954,3.13,11
STIL,2799,3.05,10.72
MSH6,4186,3.02,10.62
TRAF3,3135,3.01,10.58
PDGFB,1420,3,10.55
FGFR3,1823,2.99,10.51
FANCG,1352,2.97,10.44
PTCH1,6159,2.95,10.37
TET2,6074,2.93,10.3
NAB2,1071,2.83,9.95
CRTC3,3827,2.81,9.88
CACNA1D,3777,2.81,9.88
ERCC4,2882,2.71,9.53
MB21D2,1150,2.71,9.53
POLE,5571,2.66,9.35
U2AF1,3682,2.63,9.25
SALL4,1345,2.63,9.25
FANCD2,2730,2.59,9.1
POLD1,1580,2.58,9.07
PDE4DIP,8690,2.5,8.79
BCL7A,2070,2.5,8.79
BLM,2038,2.47,8.68
BCL6,1846,2.47,8.68
PER1,2165,2.46,8.65
DNMT3A,3702,2.45,8.61
WRN,1736,2.45,8.61
BMPR1A,3508,2.45,8.61
DDB2,1507,2.44,8.58
RECQL4,1289,2.42,8.51
KNL1,3106,2.41,8.47
ZFHX3,5309,2.41,8.47
BCL11B,2346,2.37,8.33
BCL3,966,2.37,8.33
ZNF680,1650,2.35,8.26
DDX10,2498,2.34,8.23
MAP3K13,3694,2.32,8.16
POU2F2,2529,2.26,7.94
WWTR1,2360,2.23,7.84
HOOK3,4248,2.21,7.77
KIFC1,919,2.18,7.66
FOXO1,1551,2.12,7.45
SGK1,2612,2.08,7.31
NCOA1,2226,2.05,7.21
ABL2,3352,2.01,7.07
FBXW7,2499,1.93,6.78
SUFU,1631,1.89,6.64
HOXC11,774,1.88,6.61
CBLB,2763,1.85,6.5
CEP43,3519,1.84,6.47
FANCA,2238,1.83,6.43
HOXA13,1167,1.82,6.4
ENPEP,1784,1.82,6.4
SMAD2,8212,1.79,6.29
ZNF429,1096,1.72,6.05
NRP1,2467,1.7,5.98
NDRG1,2029,1.64,5.77
NFKBIE,532,1.64,5.77
ATG7,1810,1.63,5.73
REL,2297,1.62,5.69
WNK2,2639,1.59,5.59
BRIP1,1560,1.55,5.45
CDKN2C,643,1.54,5.41
FOXA1,753,1.5,5.27
MLLT11,747,1.46,5.13
TFAP4,1402,1.42,4.99
CD274,727,1.41,4.96
FANCC,1395,1.4,4.92
PRDM1,1077,1.34,4.71
CAMTA1,1682,1.33,4.68
CHEK2,676,1.3,4.57
MLLT3,1315,1.28,4.5
FANCE,404,1.26,4.43
POLQ,1464,1.24,4.36
PRF1,379,1.19,4.18
ZEB1,1295,1.19,4.18
PPT2,433,1.17,4.11
ACVR2A,998,1.17,4.11
VAV1,630,1.16,4.08
SATB1,1938,1.15,4.04
RHOH,940,1.13,3.97
LEF1,699,1.04,3.66
BCORL1,1051,1.04,3.66
ZNF93,635,1.03,3.62
RAD51B,960,1.02,3.59
FGFR2,946,1,3.52
AMER1,1043,0.98,3.44
BARD1,730,0.96,3.37
FSTL3,359,0.93,3.27
ETV1,1115,0.92,3.23
CEBPA,300,0.91,3.2
GATA2,506,0.9,3.16
WT1,429,0.83,2.92
FHIT,530,0.77,2.71
CD74,305,0.76,2.67
MTCP1,279,0.74,2.6
H4C9,116,0.71,2.5
USP6,941,0.66,2.32
CCNE1,209,0.65,2.28
CXCR4,177,0.63,2.21
PRDM16,761,0.62,2.18
HMGA2,1207,0.62,2.18
TEC,302,0.6,2.11
MYO5A,987,0.6,2.11
PLAG1,593,0.6,2.11
ID3,133,0.59,2.07
MAFB,246,0.58,2.04
ZNF814,871,0.55,1.93
MEF2B,127,0.55,1.93
SMARCA1,292,0.53,1.86
POU5F1,186,0.51,1.79
ZNRF3,420,0.48,1.69
ZNF331,457,0.47,1.65
KIT,317,0.45,1.58
HIP1,487,0.43,1.51
FCRL4,206,0.42,1.48
PTPRB,743,0.41,1.44
GAS7,510,0.4,1.41
PAX5,455,0.39,1.37
TENT5C,266,0.37,1.3
BCL11A,376,0.37,1.3
PDGFRB,317,0.35,1.23
TAL2,27,0.33,1.16
IRF4,212,0.29,1.02
SMAD4,472,0.29,1.02
PBX1,771,0.29,1.02
ZBTB20,277,0.27,0.95
CDX2,135,0.26,0.91
HOXC13,76,0.25,0.88
SOCS1,33,0.21,0.74
FOXD4L1,62,0.2,0.7
LYL1,79,0.2,0.7
NUTM2D,157,0.18,0.63
DDR2,246,0.18,0.63
ABCB1,132,0.18,0.63
EGR2,80,0.17,0.6
COL1A1,215,0.17,0.6
NFIB,229,0.17,0.6
WAS,50,0.17,0.6
LMO2,61,0.16,0.56
H3C2,8,0.15,0.53
GLI1,76,0.14,0.49
POU2AF1,121,0.13,0.46
ELN,97,0.12,0.42
FAS,54,0.12,0.42
TET1,132,0.11,0.39
SUSD2,65,0.1,0.35
RET,83,0.1,0.35
CIITA,158,0.09,0.32
GPC3,31,0.09,0.32
IKZF3,115,0.09,0.32
FBLN1,67,0.07,0.25
MITF,64,0.07,0.25
CRLF2,17,0.07,0.25
FES,40,0.07,0.25
ZNF626,55,0.06,0.21
KEL,28,0.06,0.21
JAK3,45,0.05,0.18
ROS1,53,0.05,0.18
ALB,21,0.05,0.18
KCNJ5,39,0.05,0.18
FN1,118,0.05,0.18
SRGAP3,122,0.05,0.18
MSN,34,0.05,0.18
SFMBT2,66,0.05,0.18
RGPD3,33,0.05,0.18
CLTCL1,47,0.04,0.14
NR4A3,34,0.04,0.14
KLHL6,58,0.04,0.14
SP140,26,0.04,0.14
AKT3,40,0.03,0.11
NFATC2,30,0.03,0.11
LY75-CD302,21,0.03,0.11
MPL,7,0.03,0.11
HLF,27,0.03,0.11
NUTM2B,21,0.03,0.11
NBEA,47,0.03,0.11
RGS7,10,0.03,0.11
LRIG3,16,0.02,0.07
CDH11,40,0.02,0.07
CR1,26,0.02,0.07
CCR7,6,0.02,0.07
FLT4,23,0.02,0.07
BTK,9,0.02,0.07
SSX4,3,0.02,0.07
TERT,13,0.02,0.07
TP63,17,0.02,0.07
ITK,17,0.02,0.07
P2RY8,12,0.02,0.07
EHD2,8,0.02,0.07
MN1,15,0.02,0.07
SSX1,3,0.02,0.07
BCL2,17,0.02,0.07
ZBTB16,20,0.02,0.07
UGT2B17,2,0.01,0.04
FGFR1,10,0.01,0.04
NTRK1,3,0.01,0.04
FAT3,27,0.01,0.04
IL21R,7,0.01,0.04
CD79A,2,0.01,0.04
MYH11,18,0.01,0.04
SOX2,3,0.01,0.04
KLK2,5,0.01,0.04
AFF3,11,0.01,0.04
LTB,2,0.01,0.04
HOXD11,2,0.01,0.04
CD79B,2,0.01,0.04
SMO,1,0,0
GATA1,0,0,0
SLC34A2,0,0,0
SIX1,3,0,0
SIRPA,1,0,0
SFRP4,0,0,0
GRIN2A,1,0,0
TCF4,3,0,0
HGF,0,0,0
SETBP1,6,0,0
TCL1A,0,0,0
CBFA2T3,0,0,0
HOXD13,0,0,0
RUNX1T1,1,0,0
CYP2C8,0,0,0
DCAF12L2,0,0,0
DCSTAMP,0,0,0
RSPO3,0,0,0
ATP2B3,0,0,0
RSPO2,2,0,0
IKZF1,0,0,0
IL7R,1,0,0
FAM186A,1,0,0
IRS4,0,0,0
KDR,2,0,0
RBFOX1,1,0,0
PTPRT,0,0,0
PTPRD,1,0,0
PTPRC,1,0,0
IL2,0,0,0
AR,0,0,0
PTPN13,4,0,0
LIFR,6,0,0
ALK,1,0,0
MYOD1,0,0,0
LRP1B,0,0,0
NUTM1,0,0,0
OLIG2,1,0,0
PRRX1,0,0,0
PAX7,0,0,0
PRKCB,1,0,0
MAP2,0,0,0
PREX2,3,0,0
RSPH10B2,1,0,0
SSX2,0,0,0
PLCB4,4,0,0
TRIM49C,0,0,0
PHOX2B,0,0,0
PEG3,0,0,0
PDGFRA,2,0,0
PDCD1LG2,1,0,0
PCDH17,2,0,0
COL2A1,1,0,0
PAX3,1,0,0
NRK,0,0,0
EPHA7,1,0,0
NRG1,2,0,0
ACKR3,1,0,0
NKX2-1,0,0,0
ZNF521,1,0,0
LPAR4,0,0,0
ZNF208,4,0,0
WIF1,1,0,0
USP44,0,0,0
CDH10,2,0,0
CSF3R,3,0,0
CYSLTR2,0,0,0
DCC,5,0,0
TSHR,0,0,0
DTX1,0,0,0
FAT2,1,0,0
FAT4,2,0,0
EBF1,0,0,0
FBN2,1,0,0
FLI1,0,0,0
FLT3,2,0,0
CCND2,1,0,0
LOX,1,0,0
EPHA3,0,0,0
ERBB4,1,0,0
TLX3,0,0,0
NTRK3,9,0,0
TLL1,1,0,0
ERG,0,0,0
QKI,4,0,0
ESR1,0,0,0
FAM135B,0,0,0
TAL1,0,0,0
FCGR2B,0,0,0
TNFRSF17,0,0,0
FEV,0,0,0
FOXL2,0,0,0
SOX21,0,0,0
SOX17,0,0,0
LMO1,0,0,0
SOHLH2,0,0,0
NEFH,2,0,0
